batch #,A,B,C,D,E,11111111,batch size= 10
1,45.4887218,39.09774436,47.93233083,38.90977444,52.63157895,,
2,48.59022556,41.44736842,55.54511278,44.45488722,66.82330827,,
3,48.68421053,47.55639098,57.89473684,46.9924812,74.53007519,,
4,51.22180451,47.7443609,65.88345865,58.08270677,78.28947368,,
5,51.78571429,51.12781955,68.42105263,59.30451128,80.16917293,,
6,51.78571429,52.2556391,69.07894737,59.4924812,87.5,,
7,51.78571429,53.0075188,70.58270677,59.68045113,90.03759398,,
8,51.78571429,53.0075188,70.58270677,59.68045113,90.03759398,,
9,51.97368421,53.38345865,70.58270677,59.68045113,92.10526316,,
10,51.97368421,53.38345865,70.77067669,59.68045113,92.66917293,,
11,51.97368421,53.38345865,71.52255639,59.68045113,93.98496241,,
12,51.97368421,53.38345865,71.52255639,59.68045113,93.98496241,,
13,53.47744361,53.38345865,71.80451128,60.05639098,94.64285714,,
14,53.47744361,53.38345865,76.97368421,60.05639098,94.64285714,,
15,53.47744361,53.38345865,78.28947368,60.05639098,94.73684211,,
16,53.47744361,53.38345865,78.47744361,60.05639098,95.01879699,,
17,53.47744361,53.38345865,78.66541353,60.05639098,95.58270677,,
18,53.47744361,53.38345865,78.66541353,60.05639098,95.58270677,,
19,53.47744361,53.38345865,78.66541353,61.18421053,95.67669173,,
20,53.66541353,53.38345865,79.04135338,61.18421053,95.86466165,,
21,53.66541353,53.38345865,79.04135338,61.18421053,95.86466165,,s
22,53.66541353,53.38345865,79.04135338,61.18421053,95.86466165,,
23,53.66541353,53.38345865,79.5112782,61.18421053,95.86466165,,
24,53.66541353,53.38345865,79.69924812,61.18421053,95.86466165,,
25,53.66541353,53.38345865,79.69924812,61.18421053,95.95864662,,
