batch #,A,B,C,D,E,11111111,batch size= 10
1,35.2443609,38.2518797,30.73308271,43.13909774,49.06015038,,
2,35.33834586,44.36090226,36.7481203,55.54511278,63.43984962,,
3,35.33834586,44.73684211,38.53383459,55.63909774,75.93984962,,
4,39.84962406,46.42857143,53.66541353,59.4924812,83.08270677,,
5,40.5075188,49.81203008,58.45864662,59.4924812,84.4924812,,
6,40.5075188,50.93984962,62.21804511,59.4924812,85.52631579,,
7,40.60150376,51.31578947,62.59398496,59.4924812,86.09022556,,
8,40.60150376,51.31578947,62.59398496,59.4924812,87.68796992,,
9,40.60150376,51.31578947,62.59398496,59.4924812,89.84962406,,
10,40.97744361,51.69172932,64.84962406,59.4924812,90.31954887,,
11,41.2593985,51.69172932,66.16541353,59.4924812,90.31954887,,
12,41.44736842,52.81954887,67.19924812,60.62030075,90.31954887,,
13,41.44736842,52.81954887,71.42857143,61.7481203,90.5075188,,
14,41.44736842,57.33082707,77.63157895,61.7481203,90.5075188,,
15,41.44736842,57.70676692,78.57142857,62.12406015,90.5075188,,
16,41.44736842,57.80075188,80.26315789,62.12406015,90.60150376,,
17,41.44736842,58.83458647,83.36466165,62.31203008,90.60150376,,
18,41.44736842,60.15037594,83.92857143,62.5,90.78947368,,
19,41.44736842,60.15037594,83.92857143,62.5,90.88345865,,
20,41.44736842,60.15037594,83.92857143,62.5,91.91729323,,
21,41.44736842,60.15037594,83.92857143,62.5,91.91729323,,
22,41.44736842,60.15037594,83.92857143,62.5,91.91729323,,
23,41.44736842,60.9962406,85.62030075,62.5,91.91729323,,
24,41.44736842,60.9962406,85.90225564,62.5,91.91729323,,
25,41.44736842,62.5,85.9962406,62.5,91.91729323,,
