batch #,A,B,C,D,E,11111111,batch size= 10
1,40.131578947368425,45.0187969924812,49.53007518796993,40.131578947368425,54.41729323308271,,
2,45.30075187969925,52.161654135338345,57.14285714285714,44.266917293233085,69.73684210526315,,
3,45.77067669172932,52.819548872180455,58.83458646616542,56.954887218045116,76.12781954887218,,
4,45.95864661654135,52.819548872180455,62.31203007518798,57.330827067669176,80.26315789473685,,
5,46.05263157894737,57.98872180451128,64.75563909774436,57.98872180451128,83.7406015037594,,
6,46.05263157894737,57.98872180451128,64.75563909774436,58.1766917293233,93.1390977443609,,
7,48.1203007518797,58.92857142857143,67.4812030075188,58.36466165413534,93.1390977443609,,
8,48.214285714285715,58.92857142857143,75.93984962406014,59.680451127819545,93.32706766917293,,
9,48.402255639097746,60.244360902255636,76.12781954887218,59.680451127819545,94.54887218045113,,
10,48.68421052631579,60.244360902255636,76.12781954887218,59.680451127819545,94.73684210526315,,
11,48.68421052631579,60.244360902255636,76.50375939849624,59.680451127819545,94.83082706766918,,
12,48.68421052631579,60.244360902255636,76.50375939849624,59.680451127819545,94.83082706766918,,
13,48.68421052631579,60.43233082706767,80.73308270676691,59.680451127819545,94.92481203007519,,
14,48.68421052631579,62.31203007518798,83.83458646616542,59.86842105263158,94.92481203007519,,
15,48.68421052631579,62.31203007518798,87.96992481203007,59.86842105263158,94.92481203007519,,
16,48.68421052631579,62.31203007518798,88.06390977443608,59.86842105263158,94.92481203007519,,
17,48.68421052631579,62.31203007518798,88.06390977443608,59.86842105263158,95.67669172932331,,
18,48.68421052631579,62.31203007518798,88.06390977443608,59.86842105263158,95.67669172932331,,
19,48.68421052631579,62.31203007518798,88.06390977443608,62.5,95.67669172932331,,
20,48.68421052631579,62.31203007518798,88.06390977443608,62.5,95.77067669172934,,
21,48.68421052631579,62.5,88.43984962406014,62.5,95.77067669172934,,
22,48.68421052631579,62.5,88.90977443609023,62.5,95.77067669172934,,
23,48.68421052631579,62.5,88.90977443609023,62.5,95.77067669172934,,
24,48.68421052631579,62.5,88.90977443609023,62.5,95.77067669172934,,
25,48.68421052631579,62.5,88.90977443609023,62.5,95.77067669172934,,
