batch #,E before,E altered,,,,11111111,batch size= 10
1,54.60829493,37.48079877,,,,,
2,66.97388633,60.36866359,,,,,
3,70.96774194,65.51459293,,,,,
4,75.49923195,73.19508449,,,,,
5,76.42089094,73.96313364,,,,,
6,79.26267281,74.2703533,,,,,
7,79.26267281,75.96006144,,,,,
8,81.87403994,78.7250384,,,,,
9,84.79262673,80.95238095,,,,,
10,87.01996928,83.25652842,,,,,
11,87.48079877,83.25652842,,,,,
12,87.48079877,84.56221198,,,,,
13,87.94162826,85.86789555,,,,,
14,88.40245776,85.86789555,,,,,
15,91.01382488,88.40245776,,,,,
16,91.01382488,90.55299539,,,,,
17,91.01382488,90.55299539,,,,,
18,92.62672811,92.39631336,,,,,
19,92.62672811,92.39631336,,,,,
20,93.5483871,93.70199693,,,,,
21,93.5483871,93.70199693,,,,,
22,94.00921659,94.16282642,,,,,
23,94.77726575,94.77726575,,,,,
24,95.08448541,95.39170507,,,,,
25,95.39170507,95.39170507,,,,,
