batch #,A,B,C,D,E,11111111,batch size= 10
1,45.92933948,33.48694316,49.84639017,38.47926267,37.48079877,,
2,55.83717358,38.32565284,57.29646697,66.89708141,60.36866359,,
3,65.3609831,56.22119816,58.75576037,67.35791091,65.51459293,,
4,65.74500768,62.21198157,59.06298003,69.58525346,73.19508449,,
5,66.05222734,63.05683564,59.21658986,74.03993856,73.96313364,,
6,67.43471582,63.97849462,59.21658986,74.11674347,74.2703533,,
7,68.04915515,65.20737327,63.74807988,74.11674347,75.96006144,,
8,68.20276498,67.66513057,63.74807988,75.19201229,78.7250384,,
9,68.20276498,78.26420891,63.74807988,75.65284178,80.95238095,,
10,68.20276498,80.26113671,63.74807988,77.88018433,83.25652842,,
11,68.20276498,83.56374808,63.74807988,77.88018433,83.25652842,,
12,68.20276498,85.56067588,63.74807988,80.41474654,84.56221198,,
13,68.20276498,86.02150538,63.74807988,80.41474654,85.86789555,,
14,68.20276498,86.02150538,64.3625192,80.41474654,85.86789555,,
15,68.20276498,86.02150538,64.3625192,81.64362519,88.40245776,,
16,68.20276498,86.02150538,64.3625192,82.10445469,90.55299539,,
17,68.20276498,86.02150538,64.3625192,83.1797235,90.55299539,,
18,68.20276498,86.02150538,64.3625192,83.79416283,92.39631336,,
19,68.20276498,86.02150538,64.3625192,84.25499232,92.39631336,,
20,68.20276498,86.02150538,67.20430108,84.40860215,93.70199693,,
21,68.20276498,86.02150538,67.20430108,84.40860215,93.70199693,,
22,68.20276498,86.02150538,67.20430108,84.56221198,94.16282642,,
23,68.20276498,86.02150538,67.20430108,84.94623656,94.77726575,,
24,68.20276498,86.02150538,67.20430108,85.40706605,95.39170507,,
25,68.20276498,86.02150538,67.20430108,85.40706605,95.39170507,,
