batch #,E,E altered,,,,11111111,batch size= 10
1,70.69112628,68.00341297,,,,,
2,81.10068259,77.09044369,,,,,
3,84.34300341,81.39931741,,,,,
4,85.79351536,82.67918089,,,,,
5,87.54266212,85.79351536,,,,,
6,89.07849829,87.58532423,,,,,
7,89.29180887,87.96928328,,,,,
8,89.29180887,88.22525597,,,,,
9,89.29180887,89.16382253,,,,,
10,89.33447099,89.24914676,,,,,
11,89.41979522,90.35836177,,,,,
12,89.71843003,90.52901024,,,,,
13,90.44368601,90.99829352,,,,,
14,90.87030717,91.68088737,,,,,
15,90.87030717,91.68088737,,,,,
16,90.87030717,91.68088737,,,,,
17,91.12627986,91.72354949,,,,,
18,91.12627986,91.72354949,,,,,
19,91.16894198,91.72354949,,,,,
20,91.2116041,91.72354949,,,,,
21,91.25426621,91.72354949,,,,,
22,91.25426621,91.7662116,,,,,
23,91.25426621,91.7662116,,,,,
24,91.25426621,91.7662116,,,,,
25,91.25426621,91.7662116,,,,,
